Error output is also redirected to the log file.
�Fraction нейроны0: 7765/332Размер list_of_neurons: 205
Размер list_of_synapses: 10105
Fraction синапсы 105: -7808/3839
Fraction синапсы 106: -72/59
Fraction синапсы 107: -15871/32513
Fraction синапсы 108: 13/22
Fraction синапсы 109: -3839/12033
Fraction синапсы 110: 16637/8704
Fraction синапсы 111: 3841/5889
Fraction синапсы 112: 18173/29695
Fraction синапсы 113: -1373/1187
Fraction синапсы 114: 25853/24829
Fraction синапсы 115: 113/27
Fraction синапсы 116: -2819/11520
Fraction синапсы 117: -7423/8962
Fraction синапсы 118: -97/115
Fraction синапсы 119: 48/77
Fraction синапсы 120: 6785/11777
Fraction синапсы 121: 21/8
Fraction синапсы 122: 254/17917
Fraction синапсы 123: -21245/9731
Fraction синапсы 124: 3329/2307
Fraction синапсы 125: -1025/17664
Fraction синапсы 126: -1792/241
Fraction синапсы 127: -1109/3072
Fraction синапсы 128: 11776/14719
Fraction синапсы 129: 3498/4693
Fraction синапсы 130: 640/69
Fraction синапсы 131: -256/279
Fraction синапсы 132: -10237/17665
Fraction синапсы 133: 14339/18178
Fraction синапсы 134: -358/4813
Fraction синапсы 135: -4095/257
Fraction синапсы 136: 10239/26366
Fraction синапсы 137: 24320/20227
Fraction синапсы 138: 10369/6912
Fraction синапсы 139: 4867/7938
Fraction синапсы 140: 19456/29953
Fraction синапсы 141: 26/37
Fraction синапсы 142: 23/11
Fraction синапсы 143: 2814/17407
Fraction синапсы 144: -15617/29439
Fraction синапсы 145: 30976/19969
Fraction синапсы 146: -23/5
Fraction синапсы 147: -11008/3839
Fraction синапсы 148: -63/115
Fraction синапсы 149: -2341/3840
Fraction синапсы 150: 10/61
Fraction синапсы 151: -11777/20733
Fraction синапсы 152: -7937/15999
Fraction синапсы 153: -7/8
Fraction синапсы 154: -109/23
Fraction синапсы 155: 52/41
Fraction синапсы 156: 76/123
Fraction синапсы 157: 41/5
Fraction синапсы 158: 21/5
Fraction синапсы 159: 19/42
Fraction синапсы 160: -12/53
Fraction синапсы 161: 30466/7681
Fraction синапсы 162: 11005/12543
Fraction синапсы 163: -29699/3838
Fraction синапсы 164: 28163/27906
Fraction синапсы 165: 107/74
Fraction синапсы 166: -107/61
Fraction синапсы 167: -7295/1664
Fraction синапсы 168: -16387/15103
Fraction синапсы 169: 64/75
Fraction синапсы 170: -22273/29952
Fraction синапсы 171: 20736/17665
Fraction синапсы 172: -17/22
Fraction синапсы 173: -26367/2819
Fraction синапсы 174: -3584/1793
Fraction синапсы 175: 27389/15872
Fraction синапсы 176: 11/41
Fraction синапсы 177: -2374/861
Fraction синапсы 178: 19456/19713
Fraction синапсы 179: -46/89
Fraction синапсы 180: -127/2
Fraction синапсы 181: -26115/20222
Fraction синапсы 182: 12800/27907
Fraction синапсы 183: -15745/8064
Fraction синапсы 184: -4863/1409
Fraction синапсы 185: -93/56
Fraction синапсы 186: 14849/10499
Fraction синапсы 187: 8957/8447
Fraction синапсы 188: 21763/7682
Fraction синапсы 189: 4147/512
Fraction синапсы 190: 19/4
Fraction синапсы 191: 83/72
Fraction синапсы 192: -10/9
Fraction синапсы 193: -15231/6656
Fraction синапсы 194: 25853/23807
Fraction синапсы 195: -17153/2560
Fraction синапсы 196: -3072/19201
Fraction синапсы 197: 8451/11779
Fraction синапсы 198: -768/2341
Fraction синапсы 199: 15101/27392
Fraction синапсы 200: 614/6195
Fraction синапсы 201: 1920/10751
Fraction синапсы 202: 67/99
Fraction синапсы 203: -27907/23295
Fraction синапсы 204: -3584/16641
Fraction синапсы 205: -9986/21501
Fraction синапсы 206: -98/19
Fraction синапсы 207: -8191/9302
Fraction синапсы 208: 22013/3328
Fraction синапсы 209: 31741/23808
Fraction синапсы 210: 91/88
Fraction синапсы 211: 6271/7679
Fraction синапсы 212: -19200/31487
Fraction синапсы 213: -2347/384
Fraction синапсы 214: -53/93
Fraction синапсы 215: 15/14
Fraction синапсы 216: 11005/10751
Fraction синапсы 217: 21502/23807
Fraction синапсы 218: 28928/24319
Fraction синапсы 219: 17/4
Fraction синапсы 220: -45/23
Fraction синапсы 221: 119/65
Fraction синапсы 222: 43/83
Fraction синапсы 223: -4864/11519
Fraction синапсы 224: 87/49
Fraction синапсы 225: -19715/16638
Fraction синапсы 226: -17919/7424
Fraction синапсы 227: -11263/2816
Fraction синапсы 228: -10495/22273
Fraction синапсы 229: 17/50
Fraction синапсы 230: 52/107
Fraction синапсы 231: 39/103
Fraction синапсы 232: 2986/9983
Fraction синапсы 233: 1793/17920
Fraction синапсы 234: 30/71
Fraction синапсы 235: 2816/5375
Fraction синапсы 236: -8704/19201
Fraction синапсы 237: 15103/24320
Fraction синапсы 238: 11521/16130
Fraction синапсы 239: 6402/16385
Fraction синапсы 240: 32003/9987
Fraction синапсы 241: 27395/3074
Fraction синапсы 242: 4611/5377
Fraction синапсы 243: -1024/15233
Fraction синапсы 244: 23807/24575
Fraction синапсы 245: 22015/28928
Fraction синапсы 246: -31489/3582
Fraction синапсы 247: 1/5
Fraction синапсы 248: -128/119
Fraction синапсы 249: -2819/27647
Fraction синапсы 250: 2670/3511
Fraction синапсы 251: -25859/16383
Fraction синапсы 252: 69/40
Fraction синапсы 253: -28930/9983
Fraction синапсы 254: -5761/6271
Fraction синапсы 255: 7680/23293
Fraction синапсы 256: 7425/26624
Fraction синапсы 257: 1/2
Fraction синапсы 258: -13571/32000
Fraction синапсы 259: 5375/23038
Fraction синапсы 260: -32/7
Fraction синапсы 261: 12545/29953
Fraction синапсы 262: -9217/896
Fraction синапсы 263: -15106/19965
Fraction синапсы 264: 28/89
Fraction синапсы 265: -27907/9214
Fraction синапсы 266: 111/38
Fraction синапсы 267: 71/52
Fraction синапсы 268: 37/3
Fraction синапсы 269: -14589/4352
Fraction синапсы 270: -15617/15616
Fraction синапсы 271: 39/25
Fraction синапсы 272: -24065/16639
Fraction синапсы 273: 81/76
Fraction синапсы 274: -6401/10410
Fraction синапсы 275: 7936/11519
Fraction синапсы 276: -15616/9725
Fraction синапсы 277: -43/70
Fraction синапсы 278: -15619/7421
Fraction синапсы 279: -68/83
Fraction синапсы 280: -21761/5120
Fraction синапсы 281: 2049/9857
Fraction синапсы 282: 1/7425
Fraction синапсы 283: 9727/3200
Fraction синапсы 284: 28413/25342
Fraction синапсы 285: 24319/31487
Fraction синапсы 286: 28417/4865
Fraction синапсы 287: -24322/25341
Fraction синапсы 288: -32513/18686
Fraction синапсы 289: -1536/965
Fraction синапсы 290: -13057/23040
Fraction синапсы 291: -12031/13312
Fraction синапсы 292: 2176/6655
Fraction синапсы 293: 18947/15617
Fraction синапсы 294: -24067/19199
